Rank,Team,2022,Last 3,Last 1,Home,Away,2021,More
33,Gonzaga,10.7,12.0,9.0,8.9,11.8,11.6,https://www.teamrankings.com/ncaa-basketball/team/gonzaga-bulldogs
34,W Carolina,10.7,9.0,10.0,10.7,10.7,12.4,https://www.teamrankings.com/ncaa-basketball/team/western-carolina-catamounts
35,Ohio St,10.7,7.3,9.0,11.3,10.3,11.2,https://www.teamrankings.com/ncaa-basketball/team/ohio-st-buckeyes
36,Marquette,10.7,8.3,16.0,10.8,10.7,12.4,https://www.teamrankings.com/ncaa-basketball/team/marquette-golden-eagles
37,Davidson,10.7,8.3,12.0,9.6,11.7,9.7,https://www.teamrankings.com/ncaa-basketball/team/davidson-wildcats
38,N Carolina,10.8,9.0,11.0,9.6,11.7,11.7,https://www.teamrankings.com/ncaa-basketball/team/north-carolina-tar-heels
39,Vanderbilt,10.8,10.3,9.0,10.6,11.1,13.1,https://www.teamrankings.com/ncaa-basketball/team/vanderbilt-commodores
40,App State,10.8,9.3,8.0,10.9,10.7,10.5,https://www.teamrankings.com/ncaa-basketball/team/appalachian-st-mountaineers
41,NJIT,10.8,9.7,12.0,11.6,10.3,12.6,https://www.teamrankings.com/ncaa-basketball/team/njit-highlanders
42,Hofstra,10.9,13.7,11.0,9.4,11.6,10.4,https://www.teamrankings.com/ncaa-basketball/team/hofstra-pride
43,Wofford,10.9,9.0,11.0,10.3,11.3,11.5,https://www.teamrankings.com/ncaa-basketball/team/wofford-terriers
44,Furman,10.9,8.7,9.0,10.8,11.0,10.5,https://www.teamrankings.com/ncaa-basketball/team/furman-paladins
45,Michigan St,10.9,11.0,13.0,10.4,11.2,12.8,https://www.teamrankings.com/ncaa-basketball/team/michigan-st-spartans
46,N Arizona,10.9,9.3,13.0,9.3,11.9,13.8,https://www.teamrankings.com/ncaa-basketball/team/northern-arizona-lumberjacks
47,GA Southern,10.9,9.7,16.0,10.5,11.2,14.2,https://www.teamrankings.com/ncaa-basketball/team/georgia-southern-eagles
